Developer,Country,Year_of_Establishment
ND Games,Russian Federation,Unknown
Feral Interactive,United Kingdom of Great Britain and Northern Ireland,1996
Robosoft Technologies,Unknown,Unknown
WB Games,United States of America,1993
LucasArts,United States of America,1990
TT Fusion,United Kingdom of Great Britain and Northern Ireland,2017
Traveller's Tales,United Kingdom of Great Britain and Northern Ireland,1989
Office Create,Unknown,Unknown
Taito,Japan,1953
Turn 10 Studios,United States of America,2001
Nintendo R&D2,Japan,1970
Capcom Production Studio 1,Japan,1999
Rocksteady Studios,United Kingdom of Great Britain and Northern Ireland,2004
DC Entertainment,Unknown,Unknown
Eurocom Entertainment Software,United Kingdom of Great Britain and Northern Ireland,1988
Sony Interactive Entertainment,Japan,2016
Square Enix Business Division 1,Japan,2013
Square Enix Product Development Division 1,Japan,2003
Square USA,United States of America,1994
Eidos Interactive,United Kingdom of Great Britain and Northern Ireland,1996
Core Design,United Kingdom of Great Britain and Northern Ireland,1988
EA Orlando,United States of America,1994
Nintendo SPD Production Group No. 1,Japan,2003
Matrix Software,Japan,1994
Microsoft Corporation,Unknown,Unknown
Harmonix Music Systems,United States of America,1995
RedOctane,Unknown,Unknown
Lionhead Studios,United Kingdom of Great Britain and Northern Ireland,1996
Mercenary Technology,Unknown,Unknown
K2,Japan,2000
Westwood Studios,United States of America,1985
GOG.com,Poland,2008
Crave Entertainment,United States of America,1997
Nokia,Finland,1914
Warzone 2100 Project,Unknown,Unknown
Insomniac Games,United States of America,1994
Budcat Creations,United States of America,2016
Vicarious Visions,United States of America,1990
SCE Santa Monica Studio,United States of America,1999
Vivendi Universal Games,United States of America,2001
Radical Entertainment,Canada,1991
Gray Matter Interactive,United States of America,1994
Hypnos Entertainment,Unknown,Unknown
Stormfront Studios,United States of America,1993
Bluepoint Games,United States of America,2006
Next Level Games,Canada,2002
Heartbeat,Japan,1992
Enix Corporation,Japan,1975
ArtePiazza,Japan,1989
Beenox,Canada,2000
2K Games,United States of America,2005
EA Redwood Shores,United States of America,1998
Ubisoft Montpellier,France,1994
Ubisoft Shanghai,China,1996
Ubisoft Sao Paulo,Brazil,2008
Triumph Studios,"Netherlands, Kingdom of the",1997
Stealth,Unknown,Unknown
Sonic Retro,Unknown,Unknown
Buena Vista Games,Unknown,Unknown
Sony Computer Entertainment Europe,Unknown,Unknown
Square Enix Business Division 3,Japan,2013
Grezzo,Japan,2006
1-UP Studio,Japan,2013
Playcast-media,Unknown,Unknown
Warner Bros. Interactive Entertainment,Unknown,Unknown
Konami Digital Entertainment,Japan,2006
Massive Entertainment,Sweden,1997
Ready At Dawn,United States of America,2003
SCE London Studio,United Kingdom of Great Britain and Northern Ireland,2002
Ultra Games,Unknown,Unknown
Palcom,Unknown,Unknown
US Gold Ltd,Unknown,Unknown
Dimps,Japan,2000
Hasbro Interactive,United States of America,1995
SCE Cambridge Studio,United Kingdom of Great Britain and Northern Ireland,1997
St. GIGA,Unknown,Unknown
Konami Computer Entertainment Tokyo,Japan,1995
Obsidian Entertainment,United States of America,2003
Bandai Namco Entertainment,Japan,2015
1C/Cenega,Unknown,Unknown
Global Star Software,Canada,1992
Cat Daddy Games,United States of America,1996
Red Storm Entertainment,United States of America,1996
Ubisoft Toronto,Canada,2010
Digital Eclipse,United States of America,1992
Valve,United States of America,1996
Turtle Rock Studios,United States of America,2002
cdp.pl,Poland,1994
Spike Chunsoft,Japan,2012
CD Projekt RED,Poland,2002
D3T Limited,United Kingdom of Great Britain and Northern Ireland,2011
Saber Interactive,United States of America,2000
Ubisoft Chengdu,China,2008
Iron Galaxy Studios,United States of America,2008
Visual Concepts,United States of America,1988
2K Sports,United States of America,2005
Evolution Studios,United Kingdom of Great Britain and Northern Ireland,1999
Zindagi Games,Unknown,Unknown
SCE San Diego Studio,United States of America,2001
Ubisoft Red Storm,Unknown,Unknown
Nintendo EAD Software Development Group No.4,Japan,2003
AlphaDream,Japan,2000
Maxis,United States of America,1987
High Impact Games,United States of America,2004
Argonaut Games,Unknown,Unknown
Ubisoft Sofia,Bulgaria,2006
Ubisoft North America,United States of America,2009
Zipper Interactive,United States of America,1995
Pax Softnica,Japan,1983
Nintendo of America,United States of America,1980
Nintendo of Europe,Germany,1990
Capcom Production Studio 4,Japan,1999
Pandemic Studios,United States of America,1998
Savage Entertainment,United States of America,1997
Ubisoft Barcelona,Spain,1998
Cooking Mama Limited,Unknown,Unknown
THQ,United States of America,1989
Yuke's,Japan,1993
Fox Interactive,Unknown,Unknown
Take Two Interactive,Unknown,Unknown
Team Soho,United Kingdom of Great Britain and Northern Ireland,2001
Sony Computer Entertainment of America,United States of America,Unknown
Giant Interactive Entertainment,United Kingdom of Great Britain and Northern Ireland,2004
i5works,Unknown,Unknown
Avalanche Software,United States of America,1995
KnowWonder,Unknown,Unknown
Mattel Interactive,United States of America,1996
Irem,Japan,1974
Activision Publishing Minneapolis Inc.,Unknown,Unknown
The Maniac Agenda,Unknown,Unknown
CyberFront,Japan,1998
Demiurge Studios,United States of America,2002
Namco Hometek,United States of America,Unknown
Kojima Productions LA Studio,Unknown,Unknown
DC Comics,Unknown,Unknown
Acclaim Studios Salt Lake City,Unknown,Unknown
Acclaim Entertainment,United States of America,1987
n-Space,United States of America,1994
The Collective,United States of America,1997
Gathering of Developers,United States of America,1998
3D Realms,United States of America,1987
neo Software,Austria,1993
War Drum Studios,United States of America,2007
Remedy Entertainment,Finland,1995
JAMDAT Mobile,United States of America,2000
Splash Damage,United Kingdom of Great Britain and Northern Ireland,2001
The Coalition,Canada,2015
Luxoflux,United States of America,Unknown
United Front Games,Canada,2007
Ruffian Games,United Kingdom of Great Britain and Northern Ireland,2008
Xbox Game Studios,United States of America,2019
Blur Studio,Unknown,Unknown
Black Ops Entertainment,Unknown,Unknown
MGM Interactive,United States of America,1994
Midway,United States of America,1988
Shiny Entertainment,United States of America,1993
Atari Europe,Unknown,Unknown
MTV Games,United States of America,2006
Team Bondi,Australia,2003
EA Seattle,Unknown,Unknown
QLOC,Poland,2009
BioWare,Canada,1995
"Electronic Arts, Inc.",Unknown,Unknown
Pyramid,Unknown,Unknown
Bandai,Japan,1950
"Atari, Inc.",United States of America,2003
Pax Softonica,Japan,1983
XPEC,"Taiwan, Province of China",2015
BioWare Edmonton,Canada,1995
Quantic Dream,France,1997
Ubi Pictures,France,1994
CD Projekt,Poland,1994
Volition,United States of America,1993
Nintendo R&D3,Japan,1970
Guerrilla Games,"Netherlands, Kingdom of the",2000
Junction Point Studios,Unknown,Unknown
Spike,Japan,1989
BioWare Austin,United States of America,2006
Monolith Productions,United States of America,1994
Behaviour Interactive,Canada,1997
IO Interactive,Denmark,1998
Respawn Entertainment,United States of America,2010
Mass Media Inc,United States of America,1986
Sucker Punch Productions,United States of America,1997
Sumo Digital,United Kingdom of Great Britain and Northern Ireland,2003
Clap Hanz,Japan,Unknown
Spark Unlimited,United States of America,2002
Eidetic,United States of America,1993
989 Studios,United States of America,1998
Codemasters,United Kingdom of Great Britain and Northern Ireland,1986
Codemasters Southam,United Kingdom of Great Britain and Northern Ireland,1986
ZeniMax Media,United States of America,1999
Dice Multi Media Europe,"Netherlands, Kingdom of the",1998
Sold Out Sales & Marketing,United Kingdom of Great Britain and Northern Ireland,Unknown
NetherRealm Studios,United States of America,2010
2K Australia,Australia,2000
2K Boston,United States of America,2007
Zoe Mode,Unknown,Unknown
Danger Close,United States of America,2010
Criterion Games,United Kingdom of Great Britain and Northern Ireland,1996
Camelot Software Planning,Japan,Unknown
Disney Interactive,United States of America,1988
Midway Games,United States of America,1958
Point of View,Unknown,Unknown
Williams Entertainment,Unknown,Unknown
SoftBank,Unknown,Unknown
EA Sports BIG,Unknown,2000
NuFX,United States of America,1990
Neoplay,Unknown,Unknown
Toys for Bob,United States of America,1989
THQ Wireless,United States of America,Unknown
Universomo,Finland,2002
Krome Studios,Australia,1999
Artoon,Japan,1999
Deep Silver,Germany,2002
NOW Production,Japan,1986
Capcom Production Studio 2,Japan,Unknown
Exact Entertainment,Unknown,Unknown
Nintendo Software Technology,United States of America,1998
Big Blue Box,United Kingdom of Great Britain and Northern Ireland,Unknown
DC Studios,Unknown,Unknown
Slightly Mad Studios,United Kingdom of Great Britain and Northern Ireland,2009
tri-Ace,Japan,1995
Square Enix 1st Production Department,Japan,2010
Angel Studios,United States of America,1984
Destination Software,Unknown,Unknown
Rebellion Developments,United Kingdom of Great Britain and Northern Ireland,1992
Ensemble Studios,United States of America,1995
Sanzaru Games,United States of America,2006
Syn Sophia,Japan,1995
Genius Sonority,Japan,2002
Hitmaker,Japan,2000
Acclaim Studios Cheltenham,United Kingdom of Great Britain and Northern Ireland,1984
Activision Value,United States of America,1979
Strangelite Limited,Unknown,Unknown
Sega Studios,United States of America,1999
Headstrong Games,United Kingdom of Great Britain and Northern Ireland,2008
NEC Interchannel,Unknown,Unknown
FarSight Studios,United States of America,Unknown
FromSoftware,Japan,1986
Black Rock Studios,United Kingdom of Great Britain and Northern Ireland,2006
Square Product Development Division 4,Japan,1996
Rockstar London,United Kingdom of Great Britain and Northern Ireland,2005
SingleTrac,Unknown,1995
EA Games,Unknown,Unknown
Brøderbund Software,United States of America,1980
Enix,Japan,Unknown
Cyan Worlds,United States of America,1987
Team Fusion,Unknown,Unknown
Blue Sky,Unknown,Unknown
Rainbow Studios,United States of America,1986
Jaleco Ltd.,Unknown,Unknown
"TRY Co., Ltd.",Unknown,Unknown
Bullfrog Productions,United Kingdom of Great Britain and Northern Ireland,1987
AKI Corporation,Japan,1995
Asmik Ace Entertainment,Japan,1985
Techland,Poland,1991
Sierra Entertainment,United States of America,1979
NVIDIA Lightspeed Studios,United States of America,2014
Heavy Iron Studios,United States of America,1999
Frontier Developments,United Kingdom of Great Britain and Northern Ireland,1994
Asobo Studio,France,2002
Amaze Entertainment,United States of America,1996
Nextech,Japan,1994
Tose,Japan,1979
BigPark,Unknown,Unknown
BMG Interactive,United States of America,1994
Visual Science,United Kingdom of Great Britain and Northern Ireland,2003
ASC Games,Unknown,Unknown
Syscom Entertainment,Unknown,Unknown
NCSOFT,"Korea, Republic of",1997
ArenaNet,United States of America,2000
UEP Systems,Unknown,Unknown
Sony Computer Entertainment America,Unknown,Unknown
Idol Minds,United States of America,1997
Vanpool,Japan,1999
WB Games Montréal,Canada,2010
Human Head Studios,United States of America,1997
HB Studios,Canada,Unknown
Creatures Inc.,Japan,1989
Backbone Entertainment,United States of America,1992
New Entertainment R&D Dept.,Unknown,Unknown
Land Ho!,Unknown,Unknown
Ultra Software Corporation,Unknown,Unknown
D3 Publisher,Unknown,Unknown
Darkside Game Studios,Unknown,Unknown
2K Marin,United States of America,2007
2K China,China,2006
Digital Extremes,Canada,1993
Factor 5,Germany,1987
5th Cell,United States of America,Unknown
The Pokémon Company,Japan,1998
Tradewest Inc,Unknown,Unknown
Bemani,Japan,1997
Bizarre Creations,United Kingdom of Great Britain and Northern Ireland,1988
Black Box Games,Canada,1998
Koei,Japan,1978
Omega Force,Japan,1996
Visceral Games,United States of America,2009
Digital Scapes Studios,Canada,Unknown
Activision Blizzard,United States of America,2008
DotEmu,France,2007
Good-Feel,Japan,2005
Nintendo SPD Production Group No. 4,Japan,2003
Big Grub,Unknown,Unknown
Gotham Games,Unknown,Unknown
Full Fat Productions,Unknown,Unknown
Helixe,Unknown,Unknown
Square Enix Product Development Division 5,Japan,2003
Project Soul,Japan,Unknown
Sega Corporation,Japan,2000
Chunsoft,Japan,1984
"h.a.n.d., Inc.",Japan,1998
Ghost Games,Sweden,2011
Equinoxe,Unknown,Unknown
Check Six Games,Unknown,Unknown
Playground Games,United Kingdom of Great Britain and Northern Ireland,2010
Flagship,Japan,1997
"Natsume Co., Ltd.",Japan,1987
Jellyvision,United States of America,1989
Hothouse Creations,Unknown,Unknown
ART,Japan,1995
Sony Interactive Studios America,United States of America,1995
Virtual Programming,United Kingdom of Great Britain and Northern Ireland,2000
Irrational Games,United States of America,1997
Sega AM2,Japan,1990
THQ Nordic,Austria,2016
Graphsim Entertainment,Unknown,Unknown
NanaOn-Sha,Japan,Unknown
EA Bright Light,Unknown,Unknown
Papaya Studio,United States of America,Unknown
High Voltage Software,United States of America,1993
Artificial Mind & Movement,Canada,2000
SCE Japan Studio,Japan,1993
Avalanche Studios,Sweden,2003
Square Product Development Division 3,Japan,1996
Jupiter Corporation,Japan,1992
Rockstar Vancouver,Canada,1998
Rockstar New England,United States of America,2008
Ambrella,Japan,1996
The Creative Assembly,United Kingdom of Great Britain and Northern Ireland,1987
Arsys Software,Unknown,Unknown
"Sega Enterprises, Ltd.",Japan,1965
Atlus,Japan,1986
EA UK,Unknown,Unknown
Hangar 13,United States of America,2014
Tango Gameworks,Japan,2010
The Workshop Entertainment,United States of America,2007
Climax Group,Unknown,Unknown
Genuine Games,Unknown,Unknown
Interscope,Unknown,Unknown
Vivendi Games,United States of America,2006
Team NINJA,Japan,1995
Tecmo,Unknown,1967
Koei Tecmo Games,Japan,2010
VIS Entertainment,United Kingdom of Great Britain and Northern Ireland,1996
ZeniMax Online Studios,United States of America,2007
Realtime Worlds,United Kingdom of Great Britain and Northern Ireland,2002
Big Ape Productions,Unknown,Unknown
Terminal Reality,United States of America,1994
Square Enix Business Division 8,Japan,2013
Ivory Tower,France,2007
Activision Publishing,Unknown,Unknown
Project Aces,Japan,Unknown
Magic Pockets,France,2000
Microsoft,United States of America,1975
Gravity-i,Unknown,Unknown
Hello Games,United Kingdom of Great Britain and Northern Ireland,2008
Inland Productions,Unknown,Unknown
Griptonite Games,United States of America,1994
Webfoot Technologies,United States of America,1993
Infogrames Europe,France,1983
Firaxis Games,United States of America,1996
Mastertronic,United Kingdom of Great Britain and Northern Ireland,1983
Walt Disney Computer Software,United States of America,1988
Natsume Inc.,United States of America,1995
EA Chicago,Unknown,Unknown
Supermassive Games,United Kingdom of Great Britain and Northern Ireland,2008
Ninja Theory,United Kingdom of Great Britain and Northern Ireland,2004
EA Montreal,Canada,2004
Saffire Corporation,Unknown,Unknown
Pipe Dream Interactive,Unknown,Unknown
Micronics,Japan,Unknown
Headgate Studios,United States of America,1992
Relentless Software,United Kingdom of Great Britain and Northern Ireland,Unknown
id Software,United States of America,1991
Altron,Unknown,Unknown
Tsukuda Original,Unknown,Unknown
Paradigm Entertainment,Unknown,Unknown
Video System,Japan,1984
Lankhor,France,1987
Team Silent,Japan,1996
Sonic Team USA,United States of America,1999
Blizzard North,United States of America,1996
Devil's Details,Unknown,Unknown
"Capcom Game Studio Vancouver, Inc.",Canada,2005
SCi Games,Unknown,Unknown
Pivotal Games,United Kingdom of Great Britain and Northern Ireland,Unknown
Page 44 Studios,Unknown,Unknown
2K Play,Canada,2007
Gorilla Systems Corporation,United States of America,Unknown
Eat Sleep Play Inc.,Unknown,Unknown
Kouyousha,Japan,1996
EA,Unknown,Unknown
MachineGames,Sweden,2009
2K Czech,Czechia,2008
Massive Bear Studios,Unknown,Unknown
GRIN,Sweden,1997
Darkworks,France,1998
Probe Entertainment,United Kingdom of Great Britain and Northern Ireland,1984
SCE Bend Studio,United States of America,1993
Cavia,Japan,2000
The Code Monkeys,Unknown,Unknown
Amusement Vision,Japan,2000
Visceral Montreal,Canada,2009
Visceral Melbourne,Australia,2009
Activision UK,Unknown,Unknown
Gremlin Interactive,United Kingdom of Great Britain and Northern Ireland,1994
Sports Interactive,United Kingdom of Great Britain and Northern Ireland,1994
Cranky Pants Games,Unknown,Unknown
Outrage Games,United States of America,1997
Focus Multimedia,Unknown,Unknown
Red Fly Studio,Unknown,Unknown
The Game Designers Studio,Japan,1999
Blue Castle Games,Canada,2005
BattleCry Studios,United States of America,2012
Escalation Studios,United States of America,2007
ZeniMax Germany,Unknown,Unknown
Technos Japan,Japan,1981
Sega Studio USA,Unknown,Unknown
Play THQ,Unknown,Unknown
Camelot,Unknown,Unknown
nStigate Games,Unknown,Unknown
WayForward Technologies,United States of America,1990
Zoo Digital,United Kingdom of Great Britain and Northern Ireland,1999
Kaos Studios,United States of America,2006
BioWare Montréal,Canada,2009
Hellbent Games,Canada,Unknown
TT Games Publishing,United Kingdom of Great Britain and Northern Ireland,2005
SCE Worldwide Studios Europe,Unknown,Unknown
Planet Moon Studios,United States of America,1997
1st Playable Productions,United States of America,2005
Related Designs,Germany,1995
Blue Byte Software,Germany,1988
Virtuos,Singapore,2004
Exient Entertainment,United Kingdom of Great Britain and Northern Ireland,Unknown
PlatinumGames,Japan,2007
XAX Entertainment,Japan,1996
Sanrio Digital,Unknown,Unknown
Incognito Entertainment,United States of America,1999
Arzest,Japan,2010
Silicon Studio,Japan,2000
Crytek Frankfurt,Germany,1999
Crytek,Germany,1999
Crystal Dynamics,United States of America,1992
Square Enix Europe,United Kingdom of Great Britain and Northern Ireland,2009
Full Fat,United Kingdom of Great Britain and Northern Ireland,1996
Z-Axis,United States of America,1994
Acclaim Max Sports,Unknown,Unknown
Eidos Montréal,Canada,2007
GRIP Entertainment,Unknown,Unknown
Nixxes Software,"Netherlands, Kingdom of the",1999
Gray Matter,Unknown,Unknown
Think & Feel,Unknown,Unknown
2K,Unknown,Unknown
Tiertex Design Studios,United Kingdom of Great Britain and Northern Ireland,1987
Square Product Development Division 2,Japan,1996
Pitbull Syndicate,Unknown,Unknown
D-Rockets,Unknown,Unknown
Crytek UK,United Kingdom of Great Britain and Northern Ireland,1999
Eighting,Japan,2000
Codemasters Birmingham,United Kingdom of Great Britain and Northern Ireland,2008
Nintendo EAD Tokyo Software Development Group No.1,Japan,2003
K2 LLC,Unknown,Unknown
Westwood Pacific,United States of America,1995
Legacy Interactive,Unknown,Unknown
Nordic Games Publishing,Austria,2008
Namco Bandai Partners,Japan,2009
E-Frontier,Unknown,Unknown
Nitro Games,Finland,Unknown
Ideaworks3D,United Kingdom of Great Britain and Northern Ireland,1998
Visual Impact,Belgium,1994
Steel Monkeys,Unknown,Unknown
TDK Mediactive,United States of America,2000
Electronic Arts Victor,Japan,1990
Team Ico,Japan,1997
Acclaim Studios Austin,United States of America,1991
Flying Tiger Developments,Unknown,Unknown
Pocket Studios,Unknown,Unknown
M2,Unknown,Unknown
Melbourne House,Unknown,Unknown
Alice Studio,Argentina,Unknown
Helix,Unknown,Unknown
(Archive) Ubisoft EMEA,Unknown,Unknown
Rocket Company,Japan,1998
Snowblind Studios,Unknown,Unknown
Sony Online Entertainment,United States of America,1997
The 3DO Company,United States of America,1991
Southlogic Studios,Unknown,Unknown
TT Games,United Kingdom of Great Britain and Northern Ireland,2005
Project Sora,Unknown,Unknown
Big Fish Games,United States of America,2002
CyberConnect2,Japan,2001
3G Studios,United States of America,Unknown
Sega WOW,Japan,2003
Shift,Japan,1996
Buzz Monkey Software,Unknown,Unknown
Lego Group,Unknown,Unknown
Slant Six Games,Unknown,Unknown
Double Eleven,United Kingdom of Great Britain and Northern Ireland,2010
Tarsier Studios,Sweden,2004
XDEV Studio Europe,Unknown,Unknown
Chris Sawyer Productions,United Kingdom of Great Britain and Northern Ireland,1993
Conspiracy Entertainment,United States of America,1997
RTL Games,Unknown,Unknown
49Games,Germany,2004
Pacific Century CyberWorks,Hong Kong,1979
Interplay,United States of America,Unknown
Black Isle Studios,United States of America,1996
Interplay Entertainment,United States of America,1983
Square One Games Inc.,Canada,2010
Digital Dialect,United States of America,Unknown
Oddworld Inhabitants,United States of America,1994
Virtual Toys,Unknown,Unknown
Firebrand Games,United Kingdom of Great Britain and Northern Ireland,Unknown
D3Publisher,Japan,Unknown
Namco Tales Studio,Japan,2003
Upstart Games,Unknown,Unknown
G-Artists,Japan,1991
Sugar & Rockets,Japan,1997
DSI Games,Unknown,Unknown
Image Space Incorporated,Unknown,Unknown
Blitz Games,Unknown,Unknown
Nex Entertainment,Japan,2005
Amblin Entertainment,Unknown,Unknown
The Whole Experience,Unknown,Unknown
Surreal Software,Unknown,Unknown
Black Label Games,United States of America,2002
The Sims Division,Unknown,Unknown
Climax Racing,United Kingdom of Great Britain and Northern Ireland,2004
SouthPeak Interactive,United States of America,1996
Locomotive Games,United States of America,1997
Granite Bay Software,Unknown,Unknown
Left Field Productions,Unknown,Unknown
Square Enix Product Development Division 7,Japan,2003
Capcom USA,Unknown,Unknown
FUN Labs,Romania,1999
Sand Grain Studios,Unknown,Unknown
Psygnosis,United Kingdom of Great Britain and Northern Ireland,1984
NST,Unknown,Unknown
Light Weight,Unknown,Unknown
EA Mobile,United States of America,2004
IronMonkey Studios,Australia,Unknown
AM3,Unknown,Unknown
United Game Artists,Japan,2000
AM5,Unknown,Unknown
City Interactive,Poland,2002
Midway Games West,Unknown,Unknown
Empire Interactive,United Kingdom of Great Britain and Northern Ireland,1987
Minakuchi Engineering,Japan,1984
Syrox Developments,Unknown,Unknown
LTI Gray Matter,Unknown,Unknown
Boat Drinks,Unknown,Unknown
Success,Japan,1978
Compile,Japan,1982
Vingt et un Systems,Japan,1992
Square Product Development Division 5,Japan,1996
Tecmo Koei Games,Unknown,Unknown
Iguana Entertainment,United States of America,1991
Appaloosa Interactive,Hungary,1982
Banpresto,Japan,1989
Capcom Japan,Unknown,Unknown
Day 1 Studios,Unknown,Unknown
ASCII Entertainment,Unknown,Unknown
ParityBit,Unknown,Unknown
Nintendo EPD Production Group No. 3,Japan,2015
SRD,Unknown,Unknown
Paradigm Simulation,Unknown,Unknown
Ubisoft San Francisco,United States of America,2009
CS1 Team,Unknown,Unknown
NIS America,United States of America,2003
Atlus USA,United States of America,1991
BioWare Mythic,United States of America,2009
Mesopotamia Software,Unknown,Unknown
Ritual Entertainment,United States of America,1996
Atari Corporation,United States of America,1984
Acclaim Japan,Unknown,Unknown
Iguana UK,Unknown,Unknown
G-Craft,Japan,1994
MercurySteam,Spain,2002
PopCap Games,United States of America,2000
SUNSOFT,Japan,1978
Bandai Namco Holdings,Japan,2005
Ryu ga Gotoku Studios,Japan,2011
EA Salt Lake,United States of America,1992
Taito GM R&D Sect. #2,Japan,Unknown
BigSky Interactive Inc.,Unknown,Unknown
Agetec,Unknown,Unknown
Square Enix Business Division 5,Japan,2013
Blind Squirrel Games,United States of America,2010
Bomber eXpress,Japan,Unknown
Lexis Numerique,France,1990
Eidos Interactive Europe,Unknown,Unknown
Just Games Interactive,United States of America,2002
Maxis Software,Unknown,Unknown
Chat Noir,Unknown,Unknown
FreeStyleGames,Unknown,Unknown
Imagineer,Japan,1986
Russobit-M,Russian Federation,1999
Team17,United Kingdom of Great Britain and Northern Ireland,1990
"MicroProse Software, Inc.",United States of America,1982
Acer TWP,Unknown,Unknown
Arika,Japan,1995
Barnhouse Effect,Japan,1997
Takara,Japan,1955
"Atlus Co., Ltd",Unknown,Unknown
Play It,United Kingdom of Great Britain and Northern Ireland,2003
