,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
61,PS,1998.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,,,,,Sony Computer Entertainment,E
62,DS,2007.0,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,,,,,,
63,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,,,,,Nintendo,E
64,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,,,,,Capcom,GRAC_Fifteen
65,WiiU,2014.0,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,,,,,,
66,NES,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,,,,,Nintendo,E
67,PS4,2014.0,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,,,,,Naughty Dog,Eighteen
68,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,,,,,Vivendi Universal Games,T
69,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,,,,,,
70,Wii,2009.0,Sports,Sega,1.87,1.96,0.22,0.48,4.53,,,,,Nintendo,E
71,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,,,,,,
72,PS,2000.0,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,,,,,Heartbeat,T
73,NES,1987.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,,,,,,
74,GEN,2006.0,Platform,Sega,3.03,0.91,0.26,0.13,4.34,,,,,Stealth,
75,3DS,2011.0,Action,Nintendo,2.09,1.31,0.62,0.31,4.33,,,,,Grezzo,CLASS_IND_Ten
76,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,,,,,4J Studios,
77,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,,,,,,
78,PC,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21,,,,,,
79,X360,2011.0,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18,,,,,EA Canada,E
80,NES,1989.0,Action,Palcom,3.38,0.44,0.31,0.04,4.17,,,,,Ultra Games,E
81,NES,1984.0,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,,,,,,
82,PS,1997.0,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16,,,,,Hasbro Interactive,E
83,SNES,1995.0,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12,,,,,St. GIGA,E
84,PS2,2006.0,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11,,,,,EA Canada,E
85,SNES,1992.0,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1,,,,,,
86,PS,1996.0,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,,,,,,
87,N64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,,,,,Nintendo EAD,Seven
88,NES,1984.0,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,,,,,,
89,GB,1994.0,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91,,,,,,
90,NES,1988.0,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87,,,,,,
91,3DS,2011.0,Simulation,Nintendo,1.44,1.41,0.73,0.27,3.85,,,,,Nintendo,CERO_A
92,PS,1995.0,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84,,,,,,
93,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,,,,,,
94,PS,1996.0,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,,,,,,
95,DS,2009.0,Role-Playing,Nintendo,2.23,0.47,0.81,0.26,3.77,,,,,Nintendo,CLASS_IND_L
96,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.39,0.1,0.86,3.74,,,,,High Impact Games,E10
97,Wii,2011.0,Sports,Sega,1.12,1.87,0.27,0.45,3.72,,,,,Nintendo,Three
98,PS,1999.0,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72,,,,,Eidos Interactive,GRAC_Eighteen
99,GB,1998.0,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7,,,,,,
100,DS,2009.0,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67,,,,,Nintendo SPD Production Group No. 1,CERO_A
101,XOne,2015.0,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,
102,N64,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,,,,,Nintendo,Three
103,N64,1999.0,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63,,,,,HAL Laboratory,Three
104,PC,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61,,,,,,
105,PS,2000.0,Fighting,THQ,2.01,1.35,0.06,0.16,3.58,,,,,THQ,T
106,PS,1997.0,Platform,Fox Interactive,1.57,1.79,0.0,0.2,3.56,,,,,Fox Interactive,E
107,PS,1997.0,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54,,,,,,
108,PS2,2005.0,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53,,,,,Aspyr Media,Three
109,PS,2000.0,Action,THQ,1.96,1.33,0.0,0.23,3.52,,,,,Avalanche Software,E
110,PS,1999.0,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52,,,,,Insomniac Games,Seven
111,SNES,1996.0,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,,,,,Nintendo,E
112,NES,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,,,,,Irem,CLASS_IND_Twelve
113,DS,2009.0,Sports,Sega,1.21,1.62,0.27,0.37,3.46,,,,,Nintendo,E
114,3DS,2013.0,Role-Playing,Capcom,0.0,0.0,3.44,0.0,3.44,,,,,Capcom,CERO_C
115,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42,,,,,Square,T
116,GB,1990.0,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,,,,,Nintendo,E
117,PS,1998.0,Fighting,Acclaim Entertainment,2.47,0.76,0.0,0.13,3.36,,,,,Acclaim Studios Salt Lake City,T
118,N64,2000.0,Action,Nintendo,1.9,0.67,0.73,0.06,3.36,,,,,Nintendo,Twelve
119,PS,1998.0,Adventure,THQ,1.63,1.53,0.0,0.18,3.34,,,,,THQ,E
120,DS,2006.0,Misc,Nintendo,0.0,0.99,2.32,0.02,3.33,,,,,Nintendo,Three
121,PS2,2002.0,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33,,,,,Insomniac Games,Seven
122,3DS,2015.0,Action,Capcom,0.27,0.21,2.79,0.05,3.32,,,,,,
123,3DS,2014.0,Role-Playing,Nintendo,0.09,0.0,3.18,0.01,3.28,,,,,,
124,PSP,2009.0,Racing,Sony Computer Entertainment,0.5,1.58,0.31,0.87,3.25,,,,,Polyphony Digital,E
125,PS,1995.0,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,,,,,Sony Computer Entertainment,T
126,PS,1999.0,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21,,,,,Black Ops Entertainment,T
127,PS,2000.0,Fighting,THQ,1.76,1.21,0.07,0.16,3.2,,,,,THQ,T
128,NES,1983.0,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,,,,,,
129,SNES,1995.0,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2,,,,,Rare,E
130,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0,3.19,,,,,,
131,N64,1999.0,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12,,,,,Aspyr Media,Seven
132,NES,1990.0,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12,,,,,,
133,NES,1986.0,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,,,,,,
134,GB,1994.0,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07,,,,,Nintendo EAD,E
135,PS,1995.0,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03,,,,,Ubi Pictures,E
136,NES,1987.0,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02,,,,,Nintendo,
137,PS2,2002.0,Sports,THQ,1.45,1.13,0.07,0.38,3.02,,,,,THQ,T
138,PS2,2004.0,Fighting,,1.57,1.02,0.0,0.41,3.0,,,,,,
139,SNES,1993.0,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99,,,,,Nintendo,CLASS_IND_L
140,N64,1996.0,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,,,,,Playtronic,E
141,PS2,2005.0,Fighting,THQ,1.45,1.11,0.04,0.33,2.94,,,,,THQ,Sixteen
142,GBA,2002.0,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91,,,,,,
143,PS,1999.0,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88,,,,,Eidetic,T
144,PS,1998.0,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87,,,,,Codemasters,E
145,PC,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,,,,,Westwood Studios,T
146,SNES,1990.0,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,,,,,,
147,N64,1997.0,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,,,,,Nintendo EAD,E
148,PS2,2002.0,Fighting,THQ,1.32,1.08,0.04,0.39,2.83,,,,,,
149,PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,,,,,,
150,PS3,2012.0,Racing,Electronic Arts,0.71,1.46,0.06,0.58,2.81,,,,,Electronic Arts,Seven
151,PS2,2003.0,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,,,,,THQ,T
152,PS,1997.0,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79,,,,,Camelot Software Planning,E
153,PS,1998.0,Platform,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79,,,,,Activision,E
154,PS2,2001.0,Fighting,THQ,1.19,1.15,0.04,0.41,2.79,,,,,THQ,T
155,SNES,1992.0,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79,,,,,,
156,PS,1996.0,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79,,,,,Avalanche Software,M
157,3DS,2011.0,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79,,,,,Capcom,T
158,PS2,2003.0,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,,,,,Insomniac Games,Seven
159,XOne,2014.0,Misc,Microsoft Game Studios,1.61,0.9,0.0,0.25,2.76,,,,,4J Studios,
160,2600,1980.0,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,,,,,,
161,SNES,1992.0,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,,,,,Nintendo R&D1,E
162,N64,2000.0,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73,,,,,Nintendo EAD,Three
163,NES,1986.0,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,,,,,,
164,N64,1998.0,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7,,,,,Hudson Soft,E
165,3DS,2014.0,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68,,,,,,
166,GEN,1992.0,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67,,,,,,
167,NES,1986.0,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65,,,,,,
168,N64,1996.0,Action,Nintendo,2.0,0.5,0.12,0.03,2.65,,,,,Nintendo,T
169,PSP,2006.0,Fighting,Sony Computer Entertainment,0.76,1.09,0.12,0.64,2.62,,,,,,
170,GEN,1990.0,Action,Sega,1.86,0.55,0.11,0.08,2.6,,,,,,
171,PS2,2004.0,Platform,Sony Computer Entertainment,1.31,0.74,0.31,0.22,2.57,,,,,Insomniac Games,Seven
172,PS3,2007.0,Platform,Sony Computer Entertainment,0.93,1.1,0.08,0.45,2.56,,,,,Insomniac Games,E10
173,Wii,2010.0,Platform,Nintendo,0.99,0.52,0.92,0.14,2.56,,,,,Nintendo,E
174,NES,1987.0,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56,,,,,,
175,X360,2009.0,Action,Take-Two Interactive,1.04,1.22,0.03,0.27,2.56,,,,,,
176,2600,1978.0,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,,,,,,
177,N64,2000.0,Action,Nintendo,1.55,0.75,0.16,0.06,2.52,,,,,Rare,M
178,NES,1986.0,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52,,,,,,
179,PS2,2008.0,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5,,,,,,
180,N64,1999.0,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5,,,,,Hudson Soft,Three
181,XB,2003.0,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49,,,,,,
182,PS,1998.0,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,,,,,,
183,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45,,,,,,
184,PS,1996.0,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,,,,,Sony Computer Entertainment,T
185,PS4,2015.0,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,,,,,,
186,NES,1988.0,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,,,,,Nintendo,Three
187,DC,1998.0,Platform,Sega,1.26,0.61,0.46,0.08,2.42,,,,,Sonic Team,Seven
188,PS3,2013.0,Action,Square Enix,0.6,1.26,0.08,0.48,2.42,,,,,,
189,PS,1998.0,Action,Capcom,0.81,0.76,0.7,0.14,2.41,,,,,,
190,PS,1996.0,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4,,,,,Jaleco Ltd.,E
191,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,,,,,Nintendo,
192,PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,,,,,,
193,GEN,1993.0,,Acclaim Entertainment,1.78,0.53,0.0,0.08,2.39,,,,,,
194,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38,,,,,THQ,E
195,PS2,2001.0,Misc,Konami Digital Entertainment,1.16,0.91,0.0,0.3,2.38,,,,,Konami,E
196,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,,,,,Nintendo,E
197,GB,1996.0,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,,,,,Rare,E
198,GB,1998.0,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01,2.35,,,,,,
199,N64,2012.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32,,,,,,
200,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,,,,,DMA Design,M
201,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01,2.31,,,,,Square,Twelve
202,PS,1998.0,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31,,,,,Sony Computer Entertainment Europe,E
203,DS,2004.0,Puzzle,Nintendo,0.51,0.45,1.21,0.13,2.3,,,,,Nintendo,E
204,PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,,,8.3,37.0,Core Design Ltd.,T
205,3DS,2015.0,Action,Level 5,0.0,0.0,2.29,0.0,2.29,,,,,,
206,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,,,,,,
207,PS,1997.0,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28,,,,,,
208,PS,1997.0,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,,,,,UEP Systems,Three
209,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,,,,,Ultra Software Corporation,
210,GB,1998.0,Adventure,Nintendo,1.0,0.63,0.45,0.13,2.22,,,,,,
211,Wii,2007.0,Action,Capcom,1.32,0.56,0.14,0.2,2.22,,,,,Capcom Production Studio 4,M
212,PS2,2006.0,Action,Capcom,1.06,0.82,0.05,0.28,2.21,,,,,Sourcenext,M
213,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,,,,,,
214,NES,1986.0,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2,,,,,,
215,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,,,,,,
216,DS,2007.0,Puzzle,Disney Interactive Studios,1.06,0.9,0.0,0.23,2.2,,,,,Buena Vista Games,E
217,GB,1992.0,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19,,,,,,
218,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,,,,,,
219,GB,2000.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,2.17,0.01,2.18,,,,,,
220,GBA,2003.0,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17,,,,,Vanpool,E
221,N64,1998.0,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17,,,,,Factor 5,T
222,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,,,,,,
223,PS,2000.0,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15,,,,,Eidetic,M
224,NES,1987.0,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15,,,,,,
225,PC,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14,,,,,,
226,NES,1988.0,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14,,,,,Tradewest Inc,CLASS_IND_L
227,SNES,1996.0,Role-Playing,Nintendo,0.66,0.0,1.45,0.03,2.14,,,,,Nintendo,E
228,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,,,,,,
229,2600,1981.0,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,,,,,,
230,GB,1989.0,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12,,,,,,
231,N64,2000.0,Sports,Activision,1.68,0.4,0.0,0.03,2.11,,,,,Activision,E
232,PS3,2008.0,Sports,Konami Digital Entertainment,0.11,1.33,0.4,0.26,2.11,,,,,Konami Computer Entertainment Tokyo,E
233,XB,2002.0,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,,,,,,
234,PS2,2002.0,Platform,THQ,1.17,0.72,0.0,0.22,2.1,,,,,THQ,E
235,PS,1997.0,Sports,ASCII Entertainment,0.0,0.0,1.96,0.14,2.09,,,,,,
236,PS2,2003.0,Action,THQ,1.26,0.6,0.05,0.18,2.09,,,,,Vicarious Visions,E
237,3DS,2013.0,Role-Playing,Nintendo,0.25,0.45,1.33,0.05,2.09,,,,,LEVEL-5,Seven
238,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,,,,,,
239,3DS,2013.0,Role-Playing,Nintendo,0.89,0.58,0.46,0.14,2.08,,,,,Nintendo,Three
240,PS,2002.0,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07,,,,,Big Grub,T
241,GBA,2001.0,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07,,,,,,
242,Wii,2010.0,Platform,Nintendo,1.42,0.09,0.45,0.1,2.06,,,,,Good-Feel,E
243,Wii,2009.0,Misc,Mindscape,1.94,0.0,0.0,0.12,2.06,,,,,,
244,GBA,2005.0,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,,,,,,
245,PS,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88.0,18.0,9.2,21.0,Namco,Three
246,X360,2010.0,Action,Ubisoft,1.2,0.62,0.04,0.19,2.06,,,,,Ubisoft Montreal,M
247,PS3,2010.0,Action,Take-Two Interactive,0.6,0.96,0.13,0.36,2.05,,,,,,
248,DS,2010.0,Action,Disney Interactive Studios,0.89,0.94,0.02,0.21,2.05,,,,,Disney Interactive Studios,E
249,GEN,1992.0,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,,,,,,
250,X360,2007.0,Racing,Microsoft Game Studios,0.48,1.28,0.02,0.25,2.04,,,,,Bizarre Creations,Three
251,N64,1998.0,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,,,,,,
252,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0,,,,,,
253,GB,1989.0,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,,,,,Nintendo,E
254,SNES,1991.0,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,,,,,St. GIGA,E
255,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97,,,,,,
256,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.18,0.64,0.9,0.24,1.96,,,,,4J Studios,
257,NES,1985.0,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,,,,,Nintendo,E
258,NES,1986.0,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,,,,,,
259,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,,,,,,
260,GB,1989.0,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,,,,,Nintendo R&D1,E
